location.name,collected,event.count,treatment.name,duplicate,sample.id,analyte,result,units,non.detect,method,cas.number,mdl,rl,event.type,SAMPLE.ID,LAB.ID.x,METHOD,CAS.NUMBER,ANALYTE,RESULT,UNITS,DILUTION,RESULT.REPORTED.TO,MDL,RL,flag,method.name,flow.vol.liter,long,lat,COLLECTED,RECEIVED
2200,6/7/2021,Irr 1,Outflow,FALSE,A2-01-OT-1,"Phosphorus, Total Orthophosphate (as P)",,mg/L,FALSE,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,,,,,,
2200,6/7/2021,Irr 1,Outflow,TRUE,A2-01-OT-1-D,"Phosphorus, Total Orthophosphate (as P)",,mg/L,FALSE,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,,,,,,
2200,6/7/2021,Irr 1,Outflow,FALSE,A2-01-OT-2,"Phosphorus, Total Orthophosphate (as P)",,mg/L,FALSE,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,,,,,,
2200,6/7/2021,Irr 1,Outflow,TRUE,A2-01-OT-2-D,"Phosphorus, Total Orthophosphate (as P)",,mg/L,FALSE,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,,,,,,
2200,6/15/2021,Irr 2,Outflow,FALSE,A2-02-OT-1,"Phosphorus, Total Orthophosphate (as P)",,mg/L,FALSE,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,,,,,,
2200,6/15/2021,Irr 2,Outflow,TRUE,A2-02-OT-D,"Phosphorus, Total Orthophosphate (as P)",,mg/L,FALSE,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,,,,,,
2200,6/15/2021,Irr 2,Inflow,FALSE,A2-02-IN,"Phosphorus, Total Orthophosphate (as P)",,mg/L,FALSE,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,,,,,,
2200,6/15/2021,Irr 2,Inflow,TRUE,A2-02-IN-D,"Phosphorus, Total Orthophosphate (as P)",,mg/L,FALSE,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,,,,,,
2200,6/30/2021,Irr 3,Outflow,FALSE,A2-03-OT-1,"Phosphorus, Total Orthophosphate (as P)",,mg/L,FALSE,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,,,,,,
2200,6/30/2021,Irr 3,Outflow,TRUE,A2-03-OT-D-1,"Phosphorus, Total Orthophosphate (as P)",,mg/L,FALSE,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,,,,,,
2200,6/30/2021,Irr 3,Outflow,FALSE,A2-03-OT-2,"Phosphorus, Total Orthophosphate (as P)",,mg/L,FALSE,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,,,,,,
2200,6/30/2021,Irr 3,Outflow,TRUE,A2-03-OT-D-2,"Phosphorus, Total Orthophosphate (as P)",,mg/L,FALSE,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,,,,,,
2200,6/30/2021,Irr 3,Inflow,FALSE,A2-03-IN-2,"Phosphorus, Total Orthophosphate (as P)",,mg/L,FALSE,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,,,,,,
2200,6/30/2021,Irr 3,Inflow,TRUE,A2-03-IN-D-2,"Phosphorus, Total Orthophosphate (as P)",,mg/L,FALSE,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,,,,,,
,,,,,,"Phosphorus, Total Orthophosphate (as P)",,mg/L,FALSE,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,,,,,,
,,,,,,"Phosphorus, Total Orthophosphate (as P)",,mg/L,FALSE,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,,,,,,
,,,,,,"Phosphorus, Total Orthophosphate (as P)",,mg/L,FALSE,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,,,,,,
,,,,,,"Phosphorus, Total Orthophosphate (as P)",,mg/L,FALSE,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,,,,,,
,,,,,,"Phosphorus, Total Orthophosphate (as P)",,mg/L,FALSE,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,,,,,,
,,,,,,"Phosphorus, Total Orthophosphate (as P)",,mg/L,FALSE,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,,,,,,
,,,,,,"Phosphorus, Total Orthophosphate (as P)",,mg/L,FALSE,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,,,,,,
2200,6/7/2021,Irr 1,Outflow,FALSE,A2-01-OT-1,"Nitrogen, Nitrite  (As N)",,mg/L,FALSE,E300 - 300_W,14797-65-0,0.15,0.5,,,,,,,,,,,,,,,,,,,
2200,6/7/2021,Irr 1,Outflow,TRUE,A2-01-OT-1-D,"Nitrogen, Nitrite  (As N)",,mg/L,FALSE,E300 - 300_W,14797-65-0,0.15,0.5,,,,,,,,,,,,,,,,,,,
2200,6/7/2021,Irr 1,Outflow,FALSE,A2-01-OT-2,"Nitrogen, Nitrite  (As N)",,mg/L,FALSE,E300 - 300_W,14797-65-0,0.15,0.5,,,,,,,,,,,,,,,,,,,
2200,6/7/2021,Irr 1,Outflow,TRUE,A2-01-OT-2-D,"Nitrogen, Nitrite  (As N)",,mg/L,FALSE,E300 - 300_W,14797-65-0,0.15,0.5,,,,,,,,,,,,,,,,,,,
2200,6/15/2021,Irr 2,Outflow,FALSE,A2-02-OT-1,"Nitrogen, Nitrite  (As N)",,mg/L,FALSE,E300 - 300_W,14797-65-0,0.15,0.5,,,,,,,,,,,,,,,,,,,
2200,6/15/2021,Irr 2,Outflow,TRUE,A2-02-OT-D,"Nitrogen, Nitrite  (As N)",,mg/L,FALSE,E300 - 300_W,14797-65-0,0.15,0.5,,,,,,,,,,,,,,,,,,,
2200,6/15/2021,Irr 2,Inflow,FALSE,A2-02-IN,"Nitrogen, Nitrite  (As N)",,mg/L,FALSE,E300 - 300_W,14797-65-0,0.15,0.5,,,,,,,,,,,,,,,,,,,
2200,6/15/2021,Irr 2,Inflow,TRUE,A2-02-IN-D,"Nitrogen, Nitrite  (As N)",,mg/L,FALSE,E300 - 300_W,14797-65-0,0.15,0.5,,,,,,,,,,,,,,,,,,,
2200,6/30/2021,Irr 3,Outflow,FALSE,A2-03-OT-1,"Nitrogen, Nitrite  (As N)",,mg/L,FALSE,E300 - 300_W,14797-65-0,0.15,0.5,,,,,,,,,,,,,,,,,,,
