"location.name","treatment.name","event.type","sample.id","lab.id.x","method","cas.number","analyte","result","units","dilution","result.reported.to","mdl","rl","flag","non.detect","duplicate","method.name","event.count","flow.vol.liter","long","lat","collected","received"
"ARDEC",NA,"Inflow","A2-01-IN-ISC","HS23071046-06","M4500 NH3 D - TKN_W 4500NH3 D","7727-37-9TKN","Nitrogen, Total Kjeldahl",8.7,"mg/L",1,"RL",0.1,0.5,NA,FALSE,FALSE,"ISCO","Irrigation 1",NA,NA,NA,2023-07-18 16:00:00,"18 Jul 2023 13:35"
"ARDEC",NA,"Inflow","A2-01-IN-ISC","HS23071046-06","E300 - 300_W","14797-55-8","Nitrogen, Nitrate (As N)",2.25,"mg/L",1,"RL",0.03,0.1,NA,FALSE,FALSE,"ISCO","Irrigation 1",NA,NA,NA,2023-07-18 16:00:00,"18 Jul 2023 13:35"
"ARDEC",NA,"Inflow","A2-01-IN-ISC","HS23071046-06","E300 - 300_W","14797-65-0","Nitrogen, Nitrite  (As N)",0,"mg/L",1,"RL",0.03,0.1,NA,FALSE,FALSE,"ISCO","Irrigation 1",NA,NA,NA,2023-07-18 16:00:00,"18 Jul 2023 13:35"
"ARDEC",NA,"Inflow","A2-01-IN-ISC","HS23071046-06","SM4500P E - P-Ortho M4500P E","7723-14-0","Phosphorus, Total Orthophosphate (as P)",0,"mg/L",1,"RL",0.01,0.05,NA,FALSE,FALSE,"ISCO","Irrigation 1",NA,NA,NA,2023-07-18 16:00:00,"18 Jul 2023 13:35"
"ARDEC",NA,"Inflow","A2-01-IN-ISC","HS23071046-06","SM4500P E - P_TW M4500P E","7723-14-0","Phosphorus, Total (As P)",0.321,"mg/L",1,"RL",0.02,0.05,NA,FALSE,FALSE,"ISCO","Irrigation 1",NA,NA,NA,2023-07-18 16:00:00,"18 Jul 2023 13:35"
"ARDEC",NA,"Inflow","A2-01-IN-ISC","HS23071046-06","E160.1 - TDS_W_160.1","TDS","Total Dissolved Solids (Residue, Filterable)",4560,"mg/L",1,"RL",5,10,NA,FALSE,FALSE,"ISCO","Irrigation 1",NA,NA,NA,2023-07-18 16:00:00,"18 Jul 2023 13:35"
"ARDEC",NA,"Outflow","A2-01-OT-ISC","HS23071046-04","M4500 NH3 D - TKN_W 4500NH3 D","7727-37-9TKN","Nitrogen, Total Kjeldahl",16,"mg/L",1,"RL",0.1,0.5,NA,FALSE,FALSE,"ISCO","Irrigation 1",NA,NA,NA,2023-07-18 16:00:00,"18 Jul 2023 13:35"
"ARDEC",NA,"Outflow","A2-01-OT-ISC","HS23071046-04","E300 - 300_W","14797-55-8","Nitrogen, Nitrate (As N)",3.27,"mg/L",1,"RL",0.03,0.1,NA,FALSE,FALSE,"ISCO","Irrigation 1",NA,NA,NA,2023-07-18 16:00:00,"18 Jul 2023 13:35"
"ARDEC",NA,"Outflow","A2-01-OT-ISC","HS23071046-04","E300 - 300_W","14797-65-0","Nitrogen, Nitrite  (As N)",0,"mg/L",1,"RL",0.03,0.1,NA,FALSE,FALSE,"ISCO","Irrigation 1",NA,NA,NA,2023-07-18 16:00:00,"18 Jul 2023 13:35"
"ARDEC",NA,"Outflow","A2-01-OT-ISC","HS23071046-04","SM4500P E - P-Ortho M4500P E","7723-14-0","Phosphorus, Total Orthophosphate (as P)",0.334,"mg/L",1,"RL",0.01,0.05,NA,FALSE,FALSE,"ISCO","Irrigation 1",NA,NA,NA,2023-07-18 16:00:00,"18 Jul 2023 13:35"
"ARDEC",NA,"Outflow","A2-01-OT-ISC","HS23071046-04","SM4500P E - P_TW M4500P E","7723-14-0","Phosphorus, Total (As P)",0.556,"mg/L",1,"RL",0.02,0.05,NA,FALSE,FALSE,"ISCO","Irrigation 1",NA,NA,NA,2023-07-18 16:00:00,"18 Jul 2023 13:35"
