"location.name","collected","event.count","treatment.name","duplicate","sample.id","analyte","result","units","non.detect","method","cas.number","mdl","rl","event.type","lab.id.x","dilution","result.reported.to","flag","method.name","flow.vol.liter","long","lat","received","SAMPLE.ID","year"
"ARDEC","6/7/2021","Irrigation 1",NA,FALSE,"A2-01-OT-1","Nitrogen, Nitrate (As N)",9.4,"mg/L",FALSE,"E300 - 300_W","14797-55-8",0.15,0.5,"Outflow","",NA,"","","ISCO",NA,NA,NA,"","A2-01-OT-1","2021"
"ARDEC","6/7/2021","Irrigation 1",NA,TRUE,"A2-01-OT-1-D","Nitrogen, Nitrate (As N)",9.5,"mg/L",FALSE,"E300 - 300_W","14797-55-8",0.15,0.5,"Outflow","",NA,"","","ISCO",NA,NA,NA,"","A2-01-OT-1-D","2021"
"ARDEC","6/7/2021","Irrigation 1",NA,FALSE,"A2-01-OT-2","Nitrogen, Nitrate (As N)",9.1,"mg/L",FALSE,"E300 - 300_W","14797-55-8",0.15,0.5,"Outflow","",NA,"","","ISCO",NA,NA,NA,"","A2-01-OT-2","2021"
"ARDEC","6/7/2021","Irrigation 1",NA,TRUE,"A2-01-OT-2-D","Nitrogen, Nitrate (As N)",9.1,"mg/L",FALSE,"E300 - 300_W","14797-55-8",0.15,0.5,"Outflow","",NA,"","","ISCO",NA,NA,NA,"","A2-01-OT-2-D","2021"
"ARDEC","6/15/2021","Irrigation 2",NA,FALSE,"A2-02-OT-1","Nitrogen, Nitrate (As N)",8.4,"mg/L",FALSE,"E300 - 300_W","14797-55-8",0.15,0.5,"Outflow","",NA,"","","ISCO",NA,NA,NA,"","A2-02-OT-1","2021"
"ARDEC","6/15/2021","Irrigation 2",NA,TRUE,"A2-02-OT-D","Nitrogen, Nitrate (As N)",8.3,"mg/L",FALSE,"E300 - 300_W","14797-55-8",0.15,0.5,"Outflow","",NA,"","","ISCO",NA,NA,NA,"","A2-02-OT-D","2021"
"ARDEC","6/15/2021","Irrigation 2",NA,FALSE,"A2-02-IN","Nitrogen, Nitrate (As N)",9.5,"mg/L",FALSE,"E300 - 300_W","14797-55-8",0.15,0.5,"Inflow","",NA,"","","ISCO",NA,NA,NA,"","A2-02-IN","2021"
"ARDEC","6/15/2021","Irrigation 2",NA,TRUE,"A2-02-IN-D","Nitrogen, Nitrate (As N)",9.7,"mg/L",FALSE,"E300 - 300_W","14797-55-8",0.15,0.5,"Inflow","",NA,"","","ISCO",NA,NA,NA,"","A2-02-IN-D","2021"
"ARDEC","6/30/2021","Irrigation 3",NA,FALSE,"A2-03-OT-1","Nitrogen, Nitrate (As N)",7.6,"mg/L",FALSE,"E300 - 300_W","14797-55-8",0.15,0.5,"Outflow","",NA,"","","ISCO",NA,NA,NA,"","A2-03-OT-1","2021"
"ARDEC","6/30/2021","Irrigation 3",NA,TRUE,"A2-03-OT-D-1","Nitrogen, Nitrate (As N)",7.7,"mg/L",FALSE,"E300 - 300_W","14797-55-8",0.15,0.5,"Outflow","",NA,"","","ISCO",NA,NA,NA,"","A2-03-OT-D-1","2021"
"ARDEC","6/30/2021","Irrigation 3",NA,FALSE,"A2-03-OT-2","Nitrogen, Nitrate (As N)",7.3,"mg/L",FALSE,"E300 - 300_W","14797-55-8",0.15,0.5,"Outflow","",NA,"","","ISCO",NA,NA,NA,"","A2-03-OT-2","2021"
"ARDEC","6/30/2021","Irrigation 3",NA,TRUE,"A2-03-OT-D-2","Nitrogen, Nitrate (As N)",7.3,"mg/L",FALSE,"E300 - 300_W","14797-55-8",0.15,0.5,"Outflow","",NA,"","","ISCO",NA,NA,NA,"","A2-03-OT-D-2","2021"
"ARDEC","6/30/2021","Irrigation 3",NA,FALSE,"A2-03-IN-2","Nitrogen, Nitrate (As N)",8.6,"mg/L",FALSE,"E300 - 300_W","14797-55-8",0.15,0.5,"Inflow","",NA,"","","ISCO",NA,NA,NA,"","A2-03-IN-2","2021"
"ARDEC","6/30/2021","Irrigation 3",NA,TRUE,"A2-03-IN-D-2","Nitrogen, Nitrate (As N)",8.6,"mg/L",FALSE,"E300 - 300_W","14797-55-8",0.15,0.5,"Inflow","",NA,"","","ISCO",NA,NA,NA,"","A2-03-IN-D-2","2021"
"ARDEC","7/13/2022","Irrigation 2",NA,FALSE,"A2-02-IN","Nitrogen, Nitrate (As N)",7.2,"mg/L",FALSE,"E300 - 300_W","14797-55-8",0.15,0.5,"Inflow","",NA,"","","ISCO",NA,NA,NA,"","A2-02-IN","2022"
"ARDEC","7/13/2022","Irrigation 2",NA,TRUE,"A2-02-IN-D","Nitrogen, Nitrate (As N)",7.2,"mg/L",FALSE,"E300 - 300_W","14797-55-8",0.15,0.5,"Inflow","",NA,"","","ISCO",NA,NA,NA,"","A2-02-IN-D","2022"
"ARDEC","7/13/2022","Irrigation 2",NA,FALSE,"A2-02-OT","Nitrogen, Nitrate (As N)",6.8,"mg/L",FALSE,"E300 - 300_W","14797-55-8",0.15,0.5,"Outflow","",NA,"","","ISCO",NA,NA,NA,"","A2-02-OT","2022"
"ARDEC","7/13/2022","Irrigation 2",NA,TRUE,"A2-02-OT-D","Nitrogen, Nitrate (As N)",6.8,"mg/L",FALSE,"E300 - 300_W","14797-55-8",0.15,0.5,"Outflow","",NA,"","","ISCO",NA,NA,NA,"","A2-02-OT-D","2022"
"ARDEC","7/19/2022","Irrigation 3",NA,FALSE,"A2-03-IN","Nitrogen, Nitrate (As N)",8.2,"mg/L",FALSE,"E300 - 300_W","14797-55-8",0.15,0.5,"Inflow","",NA,"","","ISCO",NA,NA,NA,"","A2-03-IN","2022"
"ARDEC","7/19/2022","Irrigation 3",NA,TRUE,"A2-03-IN-D","Nitrogen, Nitrate (As N)",8.23,"mg/L",FALSE,"E300 - 300_W","14797-55-8",0.15,0.5,"Inflow","",NA,"","","ISCO",NA,NA,NA,"","A2-03-IN-D","2022"
"ARDEC","7/19/2022","Irrigation 3",NA,FALSE,"A2-03-OT","Nitrogen, Nitrate (As N)",8.14,"mg/L",FALSE,"E300 - 300_W","14797-55-8",0.15,0.5,"Outflow","",NA,"","","ISCO",NA,NA,NA,"","A2-03-OT","2022"
"ARDEC","7/19/2022","Irrigation 3",NA,TRUE,"A2-03-OT-D","Nitrogen, Nitrate (As N)",8.17,"mg/L",FALSE,"E300 - 300_W","14797-55-8",0.15,0.5,"Outflow","",NA,"","","ISCO",NA,NA,NA,"","A2-03-OT-D","2022"
"ARDEC","7/27/2022","Irrigation 4",NA,FALSE,"A2-04-IN","Nitrogen, Nitrate (As N)",6.7,"mg/L",FALSE,"E300 - 300_W","14797-55-8",0.15,0.5,"Inflow","",NA,"","","ISCO",NA,NA,NA,"","A2-04-IN","2022"
"ARDEC","7/27/2022","Irrigation 4",NA,FALSE,"A2-04-OT","Nitrogen, Nitrate (As N)",5.7,"mg/L",FALSE,"E300 - 300_W","14797-55-8",0.15,0.5,"Outflow","",NA,"","","ISCO",NA,NA,NA,"","A2-04-OT","2022"
"ARDEC","7/27/2022","Irrigation 4",NA,TRUE,"A2-04-OT-D","Nitrogen, Nitrate (As N)",5.7,"mg/L",FALSE,"E300 - 300_W","14797-55-8",0.15,0.5,"Outflow","",NA,"","","ISCO",NA,NA,NA,"","A2-04-OT-D","2022"
"ARDEC","8/20/2022","Irrigation 5",NA,FALSE,"A2-05-IN-1","Nitrogen, Nitrate (As N)",8.2,"mg/L",FALSE,"E300 - 300_W","14797-55-8",0.15,0.5,"Inflow","",NA,"","","ISCO",NA,NA,NA,"","A2-05-IN-1","2022"
"ARDEC","8/20/2022","Irrigation 5",NA,TRUE,"A2-05-IN-1-D","Nitrogen, Nitrate (As N)",8.3,"mg/L",FALSE,"E300 - 300_W","14797-55-8",0.15,0.5,"Inflow","",NA,"","","ISCO",NA,NA,NA,"","A2-05-IN-1-D","2022"
